Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Planys technologies,Series A,2046920,Chennai,Planys technologies is india’s first and only manufacturer of compact rovs providing underwater robotic inspection and survey solutions.,Robotics,2018,,Nan
Healthplix,Series A,3000000,Bangalore,Healthplix is a healthtech startup,Healthcare,2018,,Nan
Dishq,Seed,400000,Bengaluru,Dishq leverages food science and machine learning (ai) to understand and predict people's tastes.,Fintech,2018,,Nan
Entropik technology,Seed,1100000,Bengaluru,The boundaries between human and machines are shrinking fast.,AI,2018,,Nan
Myhq,Series A,500000,Delhi,Myhq turns your everyday coffee space into a perfect work zone. get an amazing work environment without paying any rent.,Startup hub,2018,,Nan
Trell,Seed,1250000,Bangalore,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,Fintech,2018,,Nan
Kidovators (by gyanlab),Seed,180000,Bangalore,Building future human capital through 21st century skills programs for k-12,Edtech,2018,,Nan
Log 9 materials,Seed,438000,Uttar pradesh,Log 9 materials is a nano-materials manufacturing and rnd startup,Technology,2018,,Nan
Vtion,Seed,280320,Gurgaon,Vtion is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,Media and marketing,2018,,Nan
Housingman.com,Seed,1503800,Bengaluru,"New apartments, flats for sale in bangalore",Fintech,2018,,Nan
Steradian semiconductors,Seed,0,Bangalore,It is a fabless semiconductor company focused on cmos millimeter wave products for radar.,Fintech,2018,,Nan
Rupeecircle,Seed,584000,Mumbai,Rupeecircle is a new age finance company.,Finance,2018,,Nan
Wooden street,Series A,1000000,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,Home design,2018,,Nan
The ken,Series A,1500000,Bengaluru,The ken is india’s first subscriptions-only business news site,Digital media,2018,,Nan
Saffronstays,Seed,2000000,Mumbai,Saffronstays connects travellers to india's incredible hosts.,Fintech,2018,,Nan
Vebbler,Seed,0,Bengaluru,A personal network for close people,Social network,2018,,Nan
Foyr,Series A,4200000,Pune,"Foyr.com is india's first online, automated interior designer",Automation,2018,,Nan
Mengage,Seed,175000,Jaipur,Mengage is a mass consumer engagement application for doctors on both android and ios platforms.,Healthcare,2018,,Nan
Inner being wellness,Seed,511000,Hyderabad,"Inner being wellness manufactures beauty, wellness, and nutrition products.",Fintech,2018,,Nan
Kobster,Seed,0,Chennai,Kobster is a pioneer of b2b eprocurement and an emarketplace providing corporates an end-to-end solution for their procure-to-pay cycle.,E-commerce,2018,,Nan
Wishberry,Series A,1460000,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,Fintech,2018,,Nan
Mcxtra,Seed,1300000,Andheri,Mcxtra is a digital insurance broking startup.,Insurance,2018,,Nan
Magic crate,Seed,0,Bangalore,"Magic crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",Edtech,2018,,Nan
Smartvizx,Seed,1450000,Noida,It is a virtual reality solutions startup,Technology,2018,,Nan
Myseodoc,Seed,0,Delhi,"Seo, ppc, search engine marketing, social media optimization, content marketing, brand reputation management",Fintech,2018,,Nan
Enlyft digital solutions private limited,Seed,2920,Pune,Digital marketing agency,Fintech,2018,,Nan
Scale labs,Seed,1000000,Delhi,Scale labs is a cross border e-commerce solutions provider that drives global trade for brands.,Fintech,2018,,Nan
Hungerbox,Series A,4500000,Bengaluru,Hungerbox is a full stack b2b f&b technology company delivering food solutions for the corporates in india.,B2b,2018,,Nan
Biryani by kilo,Seed,1000000,Noida,Bbk delivers both authentic taste of hyderabadi and lucknowi biryani prepared in individual earthen handis with the freshest ingredients.,Food and Beverages,2018,,Nan
Wholesome habits (eat anytime),Seed,500000,Mumbai,Wholesome habits (eat anytime) is a healthy snacks company.,Food and Beverages,2018,,Nan
Gobumpr,Seed,600000,Mylapore,Car service and bike service mobile app,Automotive and rentals,2018,,Nan
Fixpocket,Seed,250000,Ahmedabad,Fixpocket is a internet-based startup.,It,2018,,Nan
Edureka!,Series A,2000000,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",Edtech,2018,,Nan
Hashtag loyalty private limited,Seed,0,Mumbai,Hashtag loyalty is a customer engagement and marketing automation tool for local businesses.,Marketing and automation,2018,,Nan
Wow express,Series A,4500000,Mumbai,"Wow, as customers react to his studiously taught, trained, polite and courteous nature.",It,2018,,Nan
Zunroof,Seed,242360,Gurgaon,Zunroof is a rooftop focused solar startup.,Solar solution,2018,,Nan
Eggoz,Seed,175200,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,Food and Beverages,2018,,Nan
Sqrrl fintech,Seed,1000000,Gurgaon,Personal finance,Fintech,2018,,Nan
Galaxycard,Seed,0,Noida,Galaxycard is a mobile based instant credit card.,Fintech,2018,,Nan
Indiqube,Series A,15000000,Bengaluru,Indiqube is a provider of co-working spaces based in bengaluru.,Real estate,2018,,Nan
Egk foods,Seed,292000,Mumbai,A food processing enterprise registered with startup india .,Food and Beverages,2018,,Nan
Nirogstreet,Seed,300000,Gurgaon,Nirogstreet is an ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Healthcare,2018,,Nan
Pixr8,Seed,50000,Ghaziabad,Pixr8 is a global media platform dedicated to start-ups and business organisations for promoting entrepreneurship work.,Digital media,2018,,Nan
Nivesh.com,Seed,438000,Noida,Nivesh.com is a mass market mutual funds investment platform.,Fintech,2018,,Nan
Theranosis life sciences,Seed,0,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,Healthcare,2018,,Nan
Poshmiles online solutions private limited,Seed,0,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Hospitality,2018,,Nan
Reculta,Seed,0,Noida,A campus recruitment solution provider.,Edtech,2018,,Nan
Orbo.ai,Seed,0,Mumbai,Orbo is a computer vision and deep facial technology company.,Digital media,2018,,Nan
Inntot technologies,Seed,0,Kochi,"Inntot technologies, is a technology driven company.",Technology,2018,,Nan
Zoctr health,Seed,0,Powai,Zoctr health network is a first-of-its kind pan-india home & telehealth company,Healthcare,2018,,Nan
Hey deedee,Seed,481800,Mumbai,Hey deedee is a mumbai-based company that provides solutions to parcel delivery problems.,Logistics,2018,,Nan
Digiconnectt technologys,Seed,125000,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Technology,2018,,Nan
Locus.sh,Series A,4000000,Bangalore,Locus is an intelligent logistics automation platform.,Logistics,2018,,Nan
Sports flashes pvt. ltd,Seed,1000000,New delhi,"Sports flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Sports,2018,,Nan
Inc42,Seed,0,New delhi,Inc42 is one of the leading tech media publications of india.,Digital media,2018,,Nan
Picxy,Seed,130000,Guntur,"A stock photo startup based in amravati, andhra pradesh.",Digital media,2018,,Nan
Huddle,Seed,300000,Haryana,A coworking incubator company.,Consultancy,2018,,Nan
Benepik,Seed,0,Gurgaon,Hr technology start-up.,Hr-tech,2018,,Nan
Cash suvidha,Seed,1000000,New delhi,Cash suvidha is an digital lending platform that provide working capital finance to smes and msmes in india.,Finance,2018,,Nan
Smartcoin,Seed,2000000,Bangalore,Providing financial access to the millions of mobile users in india using alternative credit assessment,AI,2018,,Nan
Carmel organics,Series A,0,Indore,"Carmel organics is an india-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Agriculture,2018,,Nan
Roadcast,Seed,250000,New delhi,Transforming the way businesses deliver. work-force & fleet mobility tools.,Fintech,2018,,Nan
Printline media(theprint),Seed,509540,New delhi,A digital news platform.,Media and marketing,2018,,Nan
Creditas solutions,Seed,0,Gurgaon,Creditas was set-up in 2015 with an aim to help financial institutions find better ways to reach and interact with their customers.,Fintech,2018,,Nan
Urbanpiper,Seed,0,Bengaluru,Urbanpiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Saas,2018,,Nan
Doxper,Seed,1051200,Mumbai,Doxper is health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Healthcare,2018,,Nan
I2ifunding,Seed,730000,Noida,I2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Fintech,2018,,Nan
Shakedeal,Seed,0,Bangalore,Home of b2b commerce,E-commerce,2018,,Nan
Helloverify,Seed,0,Noida,Helloverify is an online background check platform.,Finance,2018,,Nan
Fasal,Seed,120000,Bengaluru,Climate smart precision agriculture platform,Agrictech,2018,,Nan
Coingeto,Seed,1752000,Delhi,Coingeto is one of india’s most advanced digital assets exchange.,Trading platform,2018,,Nan
Avail finance,Series A,17200000,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of india.,Fintech,2018,,Nan
Tripeur,Seed,600000,Bengaluru,Radical travel automation - cloud based corporate travel & expense management software,Technology,2018,,Nan
Wedeterna,Seed,0,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, diy matrimonial community with only self created profiles.",Healthcare,2018,,Nan
Stumagz,Seed,0,Hyderabad,Stumagz is about connecting with stories stumagz is about collaborating with people stumagz is about creating a cult.,Digital media,2018,,Nan
Doubtnut,Seed,511000,Gurgaon,Gurgaon based e-learning platform.,Edtech,2018,,Nan
Mcaffeine,Seed,467200,Mumbai,Mcaffeine is india's first caffeine infuse personal care brand. it's an extension to the hyperactive lifestyle and individualistic identity.,E-commerce,2018,,Nan
Trustcheckr,Seed,100000,Bengaluru,A bengaluru-based fraud analytics solution provider .,Technology,2018,,Nan
Healthassure,Seed,1000000,Mumbai,Healthassure provides access to discounted & high quality primary care medical network.,Healthcare,2018,,Nan
Picture time,Seed,3650000,New delhi,Operator of low-cost mobile cinema theatres in rural areas.,Digital media,2018,,Nan
1crowd,Seed,3500000,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising indian start-ups and early stage ventures,Finance,2018,,Nan
Aarav unmanned systems,Seed,0,Bangalore,Professional drones for enterprise applications,Spacetech,2018,,Nan
Wellthy therapeutics pvt ltd,Seed,1971000,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Healthcare,2018,,Nan
Nua,Seed,0,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,E-commerce,2018,,Nan
Kuvera.in,Seed,250000,Bangalore,An online platform for mutual fund investments.,Fintech,2018,,Nan
Livehealth,Seed,1100000,Pune,Livehealth is an end-to-end collaborative report management solution. we help you get your medical reports instantly from various health,Healthcare,2018,,Nan
Gramophone,Seed,1000000,Indore,An agricultural inputs startup company.,Agriculture,2018,,Nan
Ora,Seed,0,Kolkata,Ora is an online marketplace of unique accommodations. awarded as among top 3000 startups in india by iim kolkata.,Hospitality,2018,,Nan
Buddy4study.com,Series A,3000000,Noida,Buddy4study is the best scholarship search engine for indian students. it also helps organizations to set up their own scholarship schemes.,Edtech,2018,,Nan
Predible health,Seed,0,Bangalore,Healthcare devices for cancer detection,Healthcare,2018,,Nan
Syncremedies healthcare pvt ltd,Seed,0,Bangalore,"Syncremedies is an integrated medicine service that brings together allopathy, ayurveda and homeopathy to treat chronic ailments.",Healthcare,2018,,Nan
Blueleaf cyberspace systems,Seed,0,Bangalore,Bluleaf cyberspace is cloud based software company.,Saas,2018,,Nan
Toffee,Seed,1500000,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Fintech,2018,,Nan
Oro wealth,Series A,1600000,Mumbai,Online wealth management platform,Fintech,2018,,Nan
Healwell24,Seed,200000,Mumbai,"Healwell24 is india's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Healthcare,2018,,Nan
Acko general insurance,Series A,12000000,Mumbai,Acko general insurance is a digital insurance company in india that redefines insurance for the consumers.,Insurtech,2018,,Nan
Arzooo.com,Seed,219000,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,E-commerce,2018,,Nan
